class,section,head,head_name,pos,term
CLASS I,SECTION I.,#2.,Inexistence,noun,extinguishment
CLASS I,SECTION I.,#2.,Inexistence,noun,extirpation
CLASS I,SECTION I.,#2.,Inexistence,noun,"Nirvana, obliteration"
CLASS I,SECTION I.,#2.,Inexistence,verb,not exist
CLASS I,SECTION I.,#2.,Inexistence,verb,have no existence
CLASS I,SECTION I.,#2.,Inexistence,verb,be null and void
CLASS I,SECTION I.,#2.,Inexistence,verb,cease to exist
CLASS I,SECTION I.,#2.,Inexistence,verb,pass away
CLASS I,SECTION I.,#2.,Inexistence,verb,perish
CLASS I,SECTION I.,#2.,Inexistence,verb,be extinct
CLASS I,SECTION I.,#2.,Inexistence,verb,become extinct
CLASS I,SECTION I.,#2.,Inexistence,verb,die out
CLASS I,SECTION I.,#2.,Inexistence,verb,disappear
CLASS I,SECTION I.,#2.,Inexistence,verb,melt away
CLASS I,SECTION I.,#2.,Inexistence,verb,dissolve
CLASS I,SECTION I.,#2.,Inexistence,verb,leave not a rack behind
CLASS I,SECTION I.,#2.,Inexistence,verb,go
CLASS I,SECTION I.,#2.,Inexistence,verb,be no more
CLASS I,SECTION I.,#2.,Inexistence,verb,die
CLASS I,SECTION I.,#2.,Inexistence,verb,annihilate
CLASS I,SECTION I.,#2.,Inexistence,verb,render null
CLASS I,SECTION I.,#2.,Inexistence,verb,nullify
CLASS I,SECTION I.,#2.,Inexistence,verb,abrogate
CLASS I,SECTION I.,#2.,Inexistence,verb,destroy
CLASS I,SECTION I.,#2.,Inexistence,verb,take away
CLASS I,SECTION I.,#2.,Inexistence,verb,remove
CLASS I,SECTION I.,#2.,Inexistence,verb,"obliterate, extirpate"
CLASS I,SECTION I.,#2.,Inexistence,adjective,inexistent
CLASS I,SECTION I.,#2.,Inexistence,adjective,nonexistent
CLASS I,SECTION I.,#2.,Inexistence,adjective,negative
CLASS I,SECTION I.,#2.,Inexistence,adjective,blank
CLASS I,SECTION I.,#2.,Inexistence,adjective,missing
CLASS I,SECTION I.,#2.,Inexistence,adjective,omitted
CLASS I,SECTION I.,#2.,Inexistence,adjective,absent
CLASS I,SECTION I.,#2.,Inexistence,adjective,insubstantial
CLASS I,SECTION I.,#2.,Inexistence,adjective,shadowy
CLASS I,SECTION I.,#2.,Inexistence,adjective,"spectral, visionary"
CLASS I,SECTION I.,#2.,Inexistence,adjective,unreal
CLASS I,SECTION I.,#2.,Inexistence,adjective,potential
CLASS I,SECTION I.,#2.,Inexistence,adjective,virtual
CLASS I,SECTION I.,#2.,Inexistence,adjective,baseless
CLASS I,SECTION I.,#2.,Inexistence,adjective,in nubibus
CLASS I,SECTION I.,#2.,Inexistence,adjective,unsubstantial
CLASS I,SECTION I.,#2.,Inexistence,adjective,vain
CLASS I,SECTION I.,#2.,Inexistence,adjective,unborn
CLASS I,SECTION I.,#2.,Inexistence,adjective,uncreated
CLASS I,SECTION I.,#2.,Inexistence,adjective,unbegotten
CLASS I,SECTION I.,#2.,Inexistence,adjective,unconceived
CLASS I,SECTION I.,#2.,Inexistence,adjective,"unproduced, unmade"
CLASS I,SECTION I.,#2.,Inexistence,adjective,perished
CLASS I,SECTION I.,#2.,Inexistence,adjective,annihilated
CLASS I,SECTION I.,#2.,Inexistence,adjective,extinct
CLASS I,SECTION I.,#2.,Inexistence,adjective,exhausted
CLASS I,SECTION I.,#2.,Inexistence,adjective,gone
CLASS I,SECTION I.,#2.,Inexistence,adjective,lost
CLASS I,SECTION I.,#2.,Inexistence,adjective,vanished
CLASS I,SECTION I.,#2.,Inexistence,adjective,departed
CLASS I,SECTION I.,#2.,Inexistence,adjective,gone with the wind
CLASS I,SECTION I.,#2.,Inexistence,adjective,defunct
CLASS I,SECTION I.,#2.,Inexistence,adjective,fabulous
CLASS I,SECTION I.,#2.,Inexistence,adjective,ideal
CLASS I,SECTION I.,#2.,Inexistence,adjective,supposititious
CLASS I,SECTION I.,#2.,Inexistence,adverb,negatively
